# Converted from In-the-wild_aligned_PDM_68.txt
-7.339352300000000184e+01,-2.980143199999999837e+01,-4.766753200000000135e+01
-7.277501399999999876e+01,-1.094976600000000033e+01,-4.590940299999999752e+01
-7.053363799999999628e+01,7.929818000000000033e+00,-4.484257999999999811e+01
-6.685005800000000420e+01,2.607428000000000168e+01,-4.314111400000000174e+01
-5.979018700000000308e+01,4.256439000000000306e+01,-3.863529799999999881e+01
-4.836897299999999689e+01,5.648107999999999862e+01,-3.075062199999999990e+01
-3.412110100000000301e+01,6.724699200000000587e+01,-1.845645299999999978e+01
-1.787541099999999972e+01,7.505689200000000483e+01,-3.609034999999999993e+00
9.874900000000000344e-02,7.706128599999999551e+01,8.816979999999999817e-01
1.747703100000000020e+01,7.475844800000000134e+01,-5.181200999999999723e+00
3.264896600000000149e+01,6.692902100000000587e+01,-1.917656300000000158e+01
4.637235799999999841e+01,5.631138899999999836e+01,-3.077056999999999931e+01
5.734347999999999956e+01,4.241912599999999856e+01,-3.762862899999999655e+01
6.438848199999999622e+01,2.545588000000000051e+01,-4.088630899999999713e+01
6.821203800000000683e+01,6.990804999999999936e+00,-4.228144900000000206e+01
7.048640500000000486e+01,-1.166619299999999981e+01,-4.414256699999999967e+01
7.137582199999999943e+01,-3.036519099999999938e+01,-4.714042599999999794e+01
-6.111940599999999790e+01,-4.936160199999999776e+01,-1.425442199999999993e+01
-5.128758799999999951e+01,-5.876979500000000201e+01,-7.268146999999999913e+00
-3.780480000000000018e+01,-6.199615500000000168e+01,-4.420510000000000272e-01
-2.402275399999999905e+01,-6.103339900000000284e+01,6.606500999999999735e+00
-1.163571300000000086e+01,-5.668675900000000212e+01,1.196739799999999931e+01
1.205663599999999924e+01,-5.739103300000000019e+01,1.205120400000000025e+01
2.510625599999999835e+01,-6.190218600000000038e+01,7.315097999999999878e+00
3.833858800000000144e+01,-6.277771299999999854e+01,1.022953000000000001e+00
5.119100699999999904e+01,-5.930234699999999748e+01,-5.349434999999999718e+00
6.005385100000000165e+01,-5.019025500000000051e+01,-1.161574599999999968e+01
6.539399999999999658e-01,-4.219378999999999991e+01,1.338083499999999937e+01
8.048089999999999966e-01,-3.099372100000000074e+01,2.115085300000000146e+01
9.922039999999999749e-01,-1.994459600000000066e+01,2.928403600000000040e+01
1.226782999999999957e+00,-8.414540999999999826e+00,3.694805999999999813e+01
-1.477247200000000049e+01,2.598254999999999981e+00,2.013200300000000098e+01
-7.180239000000000260e+00,4.751589000000000063e+00,2.353668400000000105e+01
5.559199999999999697e-01,6.562899999999999956e+00,2.594444800000000129e+01
8.272498999999999825e+00,4.661005000000000287e+00,2.369574100000000172e+01
1.521435100000000062e+01,2.643046000000000006e+00,2.085815699999999850e+01
-4.604728999999999672e+01,-3.747141100000000336e+01,-7.037988999999999606e+00
-3.767468800000000329e+01,-4.273051000000000244e+01,-3.021217000000000041e+00
-2.788385600000000153e+01,-4.271151700000000062e+01,-1.353628999999999971e+00
-1.964826800000000162e+01,-3.675474200000000025e+01,1.110880000000000062e-01
-2.827296499999999924e+01,-3.513449299999999909e+01,1.472729999999999873e-01
-3.808241799999999699e+01,-3.491904300000000205e+01,-1.476612000000000036e+00
1.926586800000000110e+01,-3.703230599999999839e+01,6.657459999999999489e-01
2.789419099999999929e+01,-4.334244499999999789e+01,-2.476599999999999913e-01
3.743752899999999784e+01,-4.311082199999999887e+01,-1.696434999999999915e+00
4.517080500000000143e+01,-3.808651499999999857e+01,-4.894162999999999819e+00
3.819645400000000279e+01,-3.553202399999999983e+01,-2.829610000000000181e-01
2.876498899999999992e+01,-3.548428899999999686e+01,1.172674999999999912e+00
-2.891626700000000127e+01,2.861271599999999893e+01,2.240310000000000024e+00
-1.753319400000000172e+01,2.217218700000000098e+01,1.593433500000000080e+01
-6.684590000000000032e+00,1.902905099999999905e+01,2.261135499999999965e+01
3.810009999999999786e-01,2.072111800000000059e+01,2.374843699999999913e+01
8.375443000000000637e+00,1.903546000000000049e+01,2.272199499999999972e+01
1.887661800000000056e+01,2.239410900000000026e+01,1.561067899999999931e+01
2.879441200000000123e+01,2.807992399999999833e+01,3.217392999999999947e+00
1.905757399999999890e+01,3.629824800000000096e+01,1.498799700000000001e+01
8.956374999999999531e+00,3.963457499999999811e+01,2.255424500000000165e+01
3.815490000000000270e-01,4.039564699999999675e+01,2.359162600000000154e+01
-7.428894999999999804e+00,3.983640499999999918e+01,2.240610600000000119e+01
-1.816063400000000172e+01,3.667789899999999648e+01,1.512190700000000021e+01
-2.437749000000000166e+01,2.867777099999999990e+01,4.785683999999999827e+00
-6.897632999999999903e+00,2.547597599999999929e+01,2.089374199999999959e+01
3.406629999999999936e-01,2.601426899999999875e+01,2.222047900000000098e+01
8.444722000000000506e+00,2.532619800000000154e+01,2.102552000000000021e+01
2.447447299999999970e+01,2.832300800000000152e+01,5.712775999999999854e+00
8.449165999999999954e+00,3.059621599999999830e+01,2.067148900000000111e+01
2.053220000000000045e-01,3.140873799999999960e+01,2.190367000000000175e+01
-7.198266000000000275e+00,3.084487599999999929e+01,2.032802200000000070e+01
